organisation,slug,body_type,govuk_status,parent,total_docs,relevant_docs,guidance,statutory_guidance,detailed_guide,manual_section,manual,policy_paper,decision,regulation,notice,research,independent_report,impact_assessment,corporate_report,consultation_outcome,government_response,other_relevant
Northern Ireland Human Rights Commission,northern-ireland-human-rights-commission,Executive non-departmental public body,exempt,northern-ireland-office,14,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Northern Ireland Judicial Appointments Commission,northern-ireland-judicial-appointments-commission,Other,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Northern Ireland Judicial Appointments Ombudsman,northern-ireland-judicial-appointments-ombudsman,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Northern Ireland Law Commission,northern-ireland-law-commission,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Northern Ireland Legal Services Commission,northern-ireland-legal-services-commission,Other,closed,,11,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Northern Ireland Local Government Officers' Superannuation Committee,northern-ireland-local-government-officers-superannuation-committee,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Northern Ireland Office,northern-ireland-office,Ministerial department,live,,2298,314,21,6,4,0,0,75,1,0,2,3,19,0,140,14,16,13
Northern Ireland Ombudsman,northern-ireland-ombudsman,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Northern Ireland Police Fund,northern-ireland-police-fund,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Northern Ireland Policing Board,northern-ireland-policing-board,Executive non-departmental public body,exempt,department-of-justice-northern-ireland,22,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Northern Ireland Practice and Education Council,northern-ireland-practice-and-education-council,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Northern Ireland Prison Service,northern-ireland-prison-service,Executive agency,exempt,department-of-justice-northern-ireland,33,12,0,0,0,0,0,1,0,0,0,0,8,0,3,0,0,0
Northern Ireland Social Care Council,northern-ireland-social-care-council,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Northern Ireland Social Security Agency,northern-ireland-social-security-agency,Executive agency,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Northern Ireland Statistics and Research Agency,northern-ireland-statistics-and-research-agency,Executive agency,exempt,department-of-finance-northern-ireland,5982,16,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0
Northern Ireland Tourist Board,northern-ireland-tourist-board,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Northern Lighthouse Board,northern-lighthouse-board,Executive non-departmental public body,exempt,department-for-transport,112,27,0,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0
Northumberland National Park Authority,northumberland-national-park-authority,Other,exempt,department-for-environment-food-rural-affairs,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest Business Link,northwest-business-link,Executive agency,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Northwest Regional Development Agency,northwest-regional-development-agency,Executive agency,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
NS&I,ns-i,Non-ministerial department,exempt,hm-treasury,37,31,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0,0
Nuclear Decommissioning Authority,nuclear-decommissioning-authority,Executive non-departmental public body,live,department-for-energy-security-and-net-zero,994,308,17,0,4,0,0,4,0,0,4,6,3,5,245,19,0,1
Nuclear Liabilities Financing Assurance Board,nuclear-liabilities-financing-assurance-board,Advisory non-departmental public body,live,,9,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Nuclear Research Advisory Committee,nuclear-research-advisory-committee,Other,live,ministry-of-defence,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear Research Advisory Council,nuclear-research-advisory-council,Advisory non-departmental public body,closed,ministry-of-defence,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nuclear Restoration Services,nuclear-restoration-services,Other,live,nuclear-decommissioning-authority,129,34,8,0,1,0,0,0,0,0,0,0,0,0,22,3,0,0
Nuclear Waste Services,nuclear-waste-services,Other,live,nuclear-decommissioning-authority,363,247,22,0,89,0,0,0,0,0,1,14,0,0,118,3,0,0
Oak National Academy,oak-national-academy,Executive non-departmental public body,exempt,department-for-education,7,5,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
Ofcom,ofcom,Other,exempt,department-for-science-innovation-and-technology,384,71,6,0,5,0,0,5,0,0,3,2,3,0,46,1,0,0
Office for Artificial Intelligence,office-for-artificial-intelligence,Sub organisation,closed,department-for-science-innovation-and-technology,50,26,10,0,4,0,0,2,0,0,1,8,1,0,0,0,0,0
Office for Budget Responsibility,office-for-budget-responsibility,Executive non-departmental public body,exempt,hm-treasury,61,47,1,0,0,0,0,13,0,0,0,2,23,0,8,0,0,0
Office for Civil Society,office-for-civil-society,Sub organisation,closed,department-for-digital-culture-media-sport,116,11,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0
Office for Communications Data Authorisations,office-for-communications-data-authorisations,Other,closed,home-office,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office for Criminal Justice Reform,office-for-criminal-justice-reform,Other,closed,,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Office for Digital Identities and Attributes,office-for-digital-identities-and-attributes,Sub organisation,live,department-for-science-innovation-and-technology,37,31,12,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0
Office for Disability Issues,office-for-disability-issues,Sub organisation,closed,department-for-work-pensions,62,21,5,0,0,0,0,10,0,0,0,3,1,0,0,2,0,0
Office for Environmental Protection,office-for-environmental-protection,Executive non-departmental public body,exempt,department-for-environment-food-rural-affairs,16,12,0,0,0,0,0,5,0,0,0,0,1,0,6,0,0,0
Office for Equality and Opportunity,office-for-equality-and-opportunity,Other,live,cabinet-office,107,71,30,0,1,0,0,19,0,0,0,16,1,0,3,1,0,0
Office for Fair Access,office-for-fair-access,Executive non-departmental public body,closed,department-for-education,21,13,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0
Office for Health Improvement and Disparities,office-for-health-improvement-and-disparities,Sub organisation,live,department-of-health-and-social-care,1006,277,93,0,99,0,0,2,0,0,0,53,20,0,3,5,0,2
Office for Investment,office-for-investment,Sub organisation,live,department-for-business-and-trade,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Office for Investment: Financial Services,office-for-investment-financial-services,Sub organisation,live,office-for-investment,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office for Life Sciences,office-for-life-sciences,Sub organisation,live,department-of-health-and-social-care,113,44,3,0,1,0,0,9,0,0,2,24,4,0,0,0,0,1
Office for Local Government,office-for-local-government,Sub organisation,closed,ministry-of-housing-communities-local-government,15,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Office for Low Emission Vehicles,office-for-low-emission-vehicles,Sub organisation,closed,department-for-transport,128,29,9,0,0,0,0,5,0,0,0,7,4,0,0,4,0,0
Office for National Statistics,office-for-national-statistics,Other,exempt,uk-statistics-authority,11177,65,3,0,3,0,0,4,0,0,0,13,1,0,10,21,1,9
Office for Nuclear Regulation,office-for-nuclear-regulation,Public corporation,exempt,department-for-work-pensions,72,50,3,0,1,0,0,0,4,0,0,2,0,0,40,0,0,0
Office for Place,office-for-place,Executive non-departmental public body,closed,ministry-of-housing-communities-local-government,29,12,3,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0
Office for Product Safety and Standards,office-for-product-safety-and-standards,Sub organisation,live,department-for-business-and-trade,3982,319,79,26,107,0,0,11,0,1,0,75,4,0,8,5,0,3
Office for Responsible Business Conduct,office-for-responsible-business-conduct,Sub organisation,joining,department-for-business-and-trade,76,70,5,0,3,0,0,1,57,0,0,0,0,0,4,0,0,0
Office for Students,office-for-students,Executive non-departmental public body,exempt,department-for-education,40,15,0,0,1,0,0,0,0,0,0,0,0,0,8,6,0,0
Office for Tenants and Social Landlords,office-for-tenants-and-social-landlords,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Office for the Independent Examiner of Complaints,office-for-the-independent-examiner-of-complaints,Sub organisation,live,home-office,8,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
Office for the Internal Market,office-for-the-internal-market,Sub organisation,live,competition-and-markets-authority,40,28,3,0,1,0,0,0,0,0,0,17,0,0,3,4,0,0
Office for the Pay Review Bodies,office-for-the-pay-review-bodies,Sub organisation,live,department-for-business-and-trade,262,196,2,0,0,0,0,1,0,0,0,37,144,0,12,0,0,0
Office for Veterans' Affairs,office-for-veterans-affairs,Sub organisation,live,ministry-of-defence,297,49,9,0,24,0,0,4,0,0,0,8,0,0,1,3,0,0
Office for Zero Emission Vehicles,office-for-zero-emission-vehicles,Sub organisation,live,department-for-transport,135,60,19,0,18,0,0,6,0,0,0,6,0,0,0,9,0,2
Office of Fair Trading,office-of-fair-trading,Non-ministerial department,closed,department-for-business-innovation-skills,49,26,5,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0
Office of Financial Sanctions Implementation,office-of-financial-sanctions-implementation,Sub organisation,live,hm-treasury,239,207,101,35,16,0,0,4,0,0,17,0,0,0,32,2,0,0
Office of HM Paymaster General,office-of-hm-paymaster-general,Other,closed,,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Office of Manpower Economics,office-of-manpower-economics,Sub organisation,closed,department-for-business-and-trade,340,178,1,0,0,0,0,10,0,0,0,36,113,0,17,0,0,1
Office of Rail and Road,office-of-rail-and-road,Non-ministerial department,exempt,department-for-transport,744,161,3,1,0,0,0,5,0,0,0,2,0,0,29,110,0,11
Office of Rail Regulation,office-of-rail-regulation,Non-ministerial department,closed,department-for-transport,77,35,2,1,0,0,0,2,0,0,0,0,0,0,10,3,0,17
Office of Surveillance Commissioners,office-of-surveillance-commissioners,Tribunal,closed,home-office,17,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Office of Tax Simplification,office-of-tax-simplification,Independent monitoring body,closed,hm-treasury,222,100,0,0,0,0,0,69,0,0,0,12,0,0,10,9,0,0
Office of Telecommunications,office-of-telecommunications,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Office of the Advocate General for Scotland,office-of-the-advocate-general-for-scotland,Ministerial department,live,,805,36,6,0,0,0,0,5,0,0,0,3,0,0,18,2,1,1
Office of the Chief Electoral Officer for Northern Ireland,office-of-the-chief-electoral-officer-for-northern-ireland,Other,exempt,,23,19,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0
Office of the Children's Commissioner,office-of-the-children-s-commissioner,Executive non-departmental public body,exempt,department-for-education,24,13,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0
Office of the Commissioner for Protection Against Unlawful Industrial Action,office-of-the-commissioner-for-protection-against-unlawful-industrial-action,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Office of the Commissioner for the Rights of Trade Union Members,office-of-the-commissioner-for-the-rights-of-trade-union-members,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Office of the Data Protection Registrar,office-of-the-data-protection-registrar,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Office of the First Minister and Deputy First Minister,office-of-the-first-minister-and-deputy-first-minister,Other,closed,,13,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Office of the Health Professions Adjudicator,office-of-the-health-professions-adjudicator,Other,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Office of the Identity Commissioner,office-of-the-identity-commissioner,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Office of the Immigration Services Commissioner,office-of-the-immigration-services-commissioner,Executive non-departmental public body,closed,home-office,198,114,60,5,4,0,0,1,0,1,0,0,0,0,34,8,0,1
Office of the Independent Prevent Commissioner,office-of-the-independent-prevent-commissioner,Other,live,home-office,11,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Office of the Lay Observer,office-of-the-lay-observer,Other,closed,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Office of the Leader of the House of Commons,the-office-of-the-leader-of-the-house-of-commons,Ministerial department,live,cabinet-office,152,89,2,0,0,0,0,85,0,0,0,0,0,0,1,1,0,0
Office of the Leader of the House of Lords,office-of-the-leader-of-the-house-of-lords,Ministerial department,live,cabinet-office,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the Legal Services Complaints Commissioner,office-of-the-legal-services-complaints-commissioner,Other,closed,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Office of the Legal Services Ombudsman,office-of-the-legal-services-ombudsman,Other,closed,,11,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Office of the Oversight Commissioner,office-of-the-oversight-commissioner,Other,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Office of the Parliamentary Counsel,office-of-the-parliamentary-counsel,Sub organisation,live,cabinet-office,35,17,14,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
Office of the Police Ombudsman for Northern Ireland,office-of-the-police-ombudsman-for-northern-ireland,Other,exempt,department-of-justice-northern-ireland,61,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Office of the Public Guardian,office-of-the-public-guardian,Executive agency,live,ministry-of-justice,178,96,39,0,22,0,0,4,1,0,0,1,0,0,27,2,0,0
Office of the Registrar of Consultant Lobbyists,office-of-the-registrar-of-consultant-lobbyists,Other,exempt,cabinet-office,13,11,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Office of the Regulator of Community Interest Companies,office-of-the-regulator-of-community-interest-companies,Other,live,department-for-business-and-trade,174,57,9,0,0,0,0,15,0,3,0,1,0,0,28,1,0,0
Office of the Schools Adjudicator,office-of-the-schools-adjudicator,Other,live,department-for-education,2230,2217,0,0,3,0,0,0,2213,0,0,0,0,0,1,0,0,0
Office of the Secretary of State for Scotland,office-of-the-secretary-of-state-for-scotland,Ministerial department,closed,,2549,185,11,0,0,0,0,56,0,0,0,36,2,1,73,2,3,1
Office of the Secretary of State for Wales,office-of-the-secretary-of-state-for-wales,Ministerial department,closed,,2700,110,3,0,2,0,0,54,0,0,0,2,8,2,34,2,2,1
Office of the Windrush Commissioner,office-of-the-windrush-commissioner,Independent monitoring body,exempt,home-office,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Trade Sanctions Implementation,office-of-trade-sanctions-implementation,Sub organisation,live,department-for-business-and-trade,41,34,10,8,13,0,0,2,0,0,0,0,0,0,1,0,0,0
Official Solicitor and Public Trustee,official-solicitor-and-public-trustee,Other,live,ministry-of-justice,44,21,8,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0
Offshore Petroleum Regulator for Environment and Decommissioning,offshore-petroleum-regulator-for-environment-and-decommissioning,Sub organisation,live,department-for-energy-security-and-net-zero,98,79,1,0,13,0,0,1,45,0,1,11,0,1,0,4,0,2
Ofgem,ofgem,Non-ministerial department,exempt,department-for-energy-security-and-net-zero,136,85,4,0,8,0,0,20,1,0,3,3,0,0,34,10,1,1
Ofqual,ofqual,Non-ministerial department,live,department-for-education,2068,1059,182,79,22,43,4,2,40,148,100,221,2,0,62,150,0,4
Ofsted,ofsted,Non-ministerial department,live,department-for-education,1996,695,116,0,92,13,1,6,0,0,0,306,5,2,100,48,4,2
Oftel,oftel,Other,closed,,11,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
OGCbuyingsolutions,ogcbuyingsolutions,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Oil and Gas Authority,oil-and-gas-authority,Other,closed,department-for-business-energy-and-industrial-strategy,24,14,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0
Olympic Delivery Authority,olympic-delivery-authority,Executive non-departmental public body,closed,department-for-digital-culture-media-sport,117,37,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
One North East,one-north-east,Executive agency,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Online Procedure Rule Committee,online-procedure-rule-committee,Advisory non-departmental public body,live,ministry-of-justice,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Open Innovation Team,open-innovation-team,Other,live,,21,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Public Services,open-public-services,Sub organisation,live,cabinet-office,16,10,2,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0
Operational Delivery Profession,civil-service-operational-delivery-profession,Sub organisation,live,civil-service,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ordnance Survey,ordnance-survey,Public corporation,exempt,department-for-science-innovation-and-technology,31,22,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0
Ordnance Survey of Northern Ireland,ordnance-survey-of-northern-ireland,Executive agency,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PackUK,packuk,Other,live,,38,16,4,0,4,0,0,5,0,0,0,0,0,0,3,0,0,0
Parades Commission for Northern Ireland,parades-commission-for-northern-ireland,Executive non-departmental public body,exempt,northern-ireland-office,12,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Parliamentary Contributory Pension Fund,parliamentary-contributory-pension-fund,Other,exempt,,12,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Parole Board,parole-board,Executive non-departmental public body,live,ministry-of-justice,405,213,81,1,7,0,0,3,72,0,0,1,0,0,39,0,0,9
Parole Commissioners for Northern Ireland,parole-commissioners-for-northern-ireland,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Particle Physics and Astronomy Research Council,particle-physics-and-astronomy-research-council,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Passenger Focus,passenger-focus,Executive non-departmental public body,closed,department-for-transport,36,14,2,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0
Patents Court,patents-court,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Finucane Review,patrick-finucane-review,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Payment Systems Regulator,payment-systems-regulator,Other,exempt,hm-treasury,18,15,1,0,0,0,0,3,0,0,0,1,0,0,10,0,0,0
Peak District National Park Authority,peak-district-national-park,Other,exempt,department-for-environment-food-rural-affairs,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Pension Protection Fund,pension-protection-fund,Public corporation,exempt,department-for-work-pensions,25,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Pension Service,pension-service,Executive agency,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Pension, Disability and Carers Service",pension-disability-and-carers-service,Executive agency,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"People, Pay and Pensions Agency",people-pay-and-pensions-agency,Executive agency,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Personal Accounts Delivery Authority,personal-accounts-delivery-authority,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Pesticides Safety Directorate,pesticides-safety-directorate,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Peterlee Education Action Zone,peterlee-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Phoenix Sports,phoenix-sports,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
